"","dataword","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"456","persewaan",0,0,0,0,0,0,0,0,0,0
"457","jeep",0,0,0,0,0,0,0,0,0,0
"458","penuh",0,0,0,0,0,0,0,0,0,0
"459","baiknya",0,0,0,0,0,0,0,0,0,0
"460","kalo",0,0,0,0,0,0,0,0,0,0
"461","temanteman",0,0,0,0,0,0,0,0,0,0
"462","rencana",0,0,0,0,0,0,0,0,0,0
"463","kunjungan",0,0,0,0,0,0,0,0,0,0
"464","book",0,0,0,0,0,0,0,0,0,0
"465","biar",0,0,0,0,0,0,0,0,0,0
"466","jadwal",0,0,0,0,0,0,0,0,0,0
"467","sesuai",0,0,0,0,0,0,0,0,0,0
"468","yg",0,0,0,0,0,0,0,0,0,0
"469","ya",0,0,0,0,0,0,0,0,0,0
"470","ribet",0,0,0,0,0,0,0,0,0,0
"471","nyari",0,0,0,0,0,0,0,0,0,0
"472","langsung",0,0,0,0,0,0,0,0,0,0
"473","book",0,0,0,0,0,0,0,0,0,0
"474","jam",0,0,0,0,0,0,0,0,0,1
"475","tsb",0,0,0,0,0,0,0,0,0,0
"476","ditawarkan",0,0,0,0,0,0,0,0,0,0
"477","paket",0,0,0,0,0,0,0,0,0,0
"478","paket",0,0,0,0,0,0,0,0,0,0
"479","sd",0,0,0,0,0,0,0,0,0,0
"480","paket",0,0,0,0,0,0,0,0,0,0
"481","dibedakan",0,0,0,0,0,0,0,0,0,0
"482","dg",0,0,0,0,0,0,0,0,0,0
"483","dikunjungi",0,0,0,0,0,0,0,0,0,0
"484","harga",0,0,0,0,0,0,0,0,0,0
"485","rb",0,0,0,0,0,0,0,0,0,0
"486","mini",0,0,0,0,0,0,0,0,0,0
"487","short",0,0,0,0,0,0,0,0,0,0
"488","trip",0,0,0,0,0,0,1,0,0,0
"489","sd",0,0,0,0,0,0,0,0,0,0
"490","rb",0,0,0,0,0,0,0,0,0,0
"491","long",0,1,0,0,0,0,0,0,0,0
"492","trip",0,0,0,0,0,0,1,0,0,0
"493","ambil",0,0,0,0,0,0,0,0,0,0
"494","paket",0,0,0,0,0,0,0,0,0,0
"495","dg",0,0,0,0,0,0,0,0,0,0
"496","harga",0,0,0,0,0,0,0,0,0,0
"497","rb",0,0,0,0,0,0,0,0,0,0
"498","yg",0,0,0,0,0,0,0,0,0,0
"499","dikunjungi",0,0,0,0,0,0,0,0,0,0
"500","jeep",0,0,0,0,0,0,0,0,0,0
"501","maksimal",0,0,0,0,0,0,0,0,0,0
"502","diisi",0,0,0,0,0,0,0,0,0,0
"503","orang",0,0,0,0,0,0,0,0,0,0
